,County Code,Election Date,Unique PCT Identifier,Precinct Polling Location,Total Registered,Contest Name,District,Contest Code,Candidate,Party,Vote Total
0,CHA,11/06/2018,1,1 - Cleveland Methodist,497,United States Senator, ,120000,Rick Scott,REP,"170
"
1,CHA,11/06/2018,1,1 - Cleveland Methodist,497,United States Senator, ,120000,Bill Nelson,DEM,"91
"
2,CHA,11/06/2018,1,1 - Cleveland Methodist,497,United States Senator, ,120000,WriteinVotes, ,"0
"
3,CHA,11/06/2018,1,1 - Cleveland Methodist,497,United States Senator, ,120000,OverVotes, ,"0
"
4,CHA,11/06/2018,1,1 - Cleveland Methodist,497,United States Senator, ,120000,UnderVotes, ,"8
"
5,CHA,11/06/2018,1,1 - Cleveland Methodist,497,Representative in Congress, District 17,140170,Greg Steube,REP,"166
"
6,CHA,11/06/2018,1,1 - Cleveland Methodist,497,Representative in Congress, District 17,140170,Allen Ellison,DEM,"98
"
7,CHA,11/06/2018,1,1 - Cleveland Methodist,497,Representative in Congress, District 17,140170,OverVotes, ,"0
"
8,CHA,11/06/2018,1,1 - Cleveland Methodist,497,Representative in Congress, District 17,140170,UnderVotes, ,"5
"
9,CHA,11/06/2018,1,1 - Cleveland Methodist,497,Governor, ,160000,DeSantis / Nu̱ez,REP,"170
"
10,CHA,11/06/2018,1,1 - Cleveland Methodist,497,Governor, ,160000,Gillum / King,DEM,"93
"
11,CHA,11/06/2018,1,1 - Cleveland Methodist,497,Governor, ,160000,Richardson / Argenziano,REF,"1
"
12,CHA,11/06/2018,1,1 - Cleveland Methodist,497,Governor, ,160000,Gibson / Wilds,NPA,"2
"
13,CHA,11/06/2018,1,1 - Cleveland Methodist,497,Governor, ,160000,Foley / Tutton,NPA,"0
"
14,CHA,11/06/2018,1,1 - Cleveland Methodist,497,Governor, ,160000,Stanley / McJury,NPA,"0
"
15,CHA,11/06/2018,1,1 - Cleveland Methodist,497,Governor, ,160000,WriteinVotes, ,"0
"
16,CHA,11/06/2018,1,1 - Cleveland Methodist,497,Governor, ,160000,OverVotes, ,"0
"
