,County Code,Election Date,Unique PCT Identifier,Precinct Polling Location,Total Registered,Contest Name,District,Contest Code,Candidate,Party,Vote Total
0,CIT,11/06/2018,100,100,2768,United States Senator, ,120000,Rick Scott,REP,"1339
"
1,CIT,11/06/2018,100,100,2768,United States Senator, ,120000,Bill Nelson,DEM,"472
"
2,CIT,11/06/2018,100,100,2768,United States Senator, ,120000,WriteinVotes, ,"9
"
3,CIT,11/06/2018,100,100,2768,United States Senator, ,120000,OverVotes, ,"0
"
4,CIT,11/06/2018,100,100,2768,United States Senator, ,120000,UnderVotes, ,"16
"
5,CIT,11/06/2018,100,100,2768,Representative in Congress, District 11,140110,Daniel Webster,REP,"1344
"
6,CIT,11/06/2018,100,100,2768,Representative in Congress, District 11,140110,Dana Cottrell,DEM,"462
"
7,CIT,11/06/2018,100,100,2768,Representative in Congress, District 11,140110,WriteinVotes, ,"2
"
8,CIT,11/06/2018,100,100,2768,Representative in Congress, District 11,140110,OverVotes, ,"0
"
9,CIT,11/06/2018,100,100,2768,Representative in Congress, District 11,140110,UnderVotes, ,"28
"
10,CIT,11/06/2018,100,100,2768,Governor, ,160000,DeSantis / Nu̱ez,REP,"1350
"
11,CIT,11/06/2018,100,100,2768,Governor, ,160000,Gillum / King,DEM,"424
"
12,CIT,11/06/2018,100,100,2768,Governor, ,160000,Richardson / Argenziano,REF,"33
"
13,CIT,11/06/2018,100,100,2768,Governor, ,160000,Gibson / Wilds,NPA,"8
"
14,CIT,11/06/2018,100,100,2768,Governor, ,160000,Foley / Tutton,NPA,"4
"
15,CIT,11/06/2018,100,100,2768,Governor, ,160000,Stanley / McJury,NPA,"4
"
16,CIT,11/06/2018,100,100,2768,Governor, ,160000,WriteinVotes, ,"2
"
17,CIT,11/06/2018,100,100,2768,Governor, ,160000,OverVotes, ,"1
"
18,CIT,11/06/2018,100,100,2768,Governor, ,160000,UnderVotes, ,"10
"
19,CIT,11/06/2018,100,100,2768,Attorney General, ,160200,Ashley Moody,REP,"1400
"
20,CIT,11/06/2018,100,100,2768,Attorney General, ,160200,Sean Shaw,DEM,"374
"
21,CIT,11/06/2018,100,100,2768,Attorney General, ,160200,Jeffrey Marc Siskind,NPA,"32
"
22,CIT,11/06/2018,100,100,2768,Attorney General, ,160200,OverVotes, ,"0
"
23,CIT,11/06/2018,100,100,2768,Attorney General, ,160200,UnderVotes, ,"30
"
24,CIT,11/06/2018,100,100,2768,Chief Financial Officer, ,160500,Jimmy Patronis,REP,"1361
"
25,CIT,11/06/2018,100,100,2768,Chief Financial Officer, ,160500,Jeremy Ring,DEM,"409
"
26,CIT,11/06/2018,100,100,2768,Chief Financial Officer, ,160500,WriteinVotes, ,"1
"
27,CIT,11/06/2018,100,100,2768,Chief Financial Officer, ,160500,OverVotes, ,"0
"
28,CIT,11/06/2018,100,100,2768,Chief Financial Officer, ,160500,UnderVotes, ,"65
"
29,CIT,11/06/2018,100,100,2768,Commissioner of Agriculture, ,160800,Matt Caldwell,REP,"1298
"
30,CIT,11/06/2018,100,100,2768,Commissioner of Agriculture, ,160800,"Nicole ""Nikki"" Fried",DEM,"502
"
