,County Code,Election Date,Unique PCT Identifier,Precinct Polling Location,Total Registered,Contest Name,District,Contest Code,Candidate,Party,Vote Total
0,CLL,11/06/2018,101,101,3805,United States Senator, ,120000,Rick Scott,REP,"1681
"
1,CLL,11/06/2018,101,101,3805,United States Senator, ,120000,Bill Nelson,DEM,"1053
"
2,CLL,11/06/2018,101,101,3805,United States Senator, ,120000,WriteinVotes, ,"7
"
3,CLL,11/06/2018,101,101,3805,United States Senator, ,120000,OverVotes, ,"0
"
4,CLL,11/06/2018,101,101,3805,United States Senator, ,120000,UnderVotes, ,"19
"
5,CLL,11/06/2018,101,101,3805,Representative in Congress, District 19,140190,Francis Rooney,REP,"297
"
6,CLL,11/06/2018,101,101,3805,Representative in Congress, District 19,140190,David Holden,DEM,"262
"
7,CLL,11/06/2018,101,101,3805,Representative in Congress, District 19,140190,WriteinVotes, ,"0
"
8,CLL,11/06/2018,101,101,3805,Representative in Congress, District 19,140190,OverVotes, ,"0
"
9,CLL,11/06/2018,101,101,3805,Representative in Congress, District 19,140190,UnderVotes, ,"17
"
10,CLL,11/06/2018,101,101,3805,Representative in Congress, District 25,140250,Mario Diaz-Balart,REP,"1361
"
11,CLL,11/06/2018,101,101,3805,Representative in Congress, District 25,140250,Mary Barzee Flores,DEM,"850
"
12,CLL,11/06/2018,101,101,3805,Representative in Congress, District 25,140250,OverVotes, ,"0
"
13,CLL,11/06/2018,101,101,3805,Representative in Congress, District 25,140250,UnderVotes, ,"33
"
14,CLL,11/06/2018,101,101,3805,Governor, ,160000,DeSantis / Nu̱ez,REP,"1655
"
15,CLL,11/06/2018,101,101,3805,Governor, ,160000,Gillum / King,DEM,"1000
"
16,CLL,11/06/2018,101,101,3805,Governor, ,160000,Richardson / Argenziano,REF,"14
"
17,CLL,11/06/2018,101,101,3805,Governor, ,160000,Gibson / Wilds,NPA,"10
"
18,CLL,11/06/2018,101,101,3805,Governor, ,160000,Foley / Tutton,NPA,"4
"
19,CLL,11/06/2018,101,101,3805,Governor, ,160000,Stanley / McJury,NPA,"3
"
20,CLL,11/06/2018,101,101,3805,Governor, ,160000,WriteinVotes, ,"1
"
21,CLL,11/06/2018,101,101,3805,Governor, ,160000,OverVotes, ,"2
"
22,CLL,11/06/2018,101,101,3805,Governor, ,160000,UnderVotes, ,"22
"
23,CLL,11/06/2018,101,101,3805,Attorney General, ,160200,Ashley Moody,REP,"1780
"
24,CLL,11/06/2018,101,101,3805,Attorney General, ,160200,Sean Shaw,DEM,"955
"
25,CLL,11/06/2018,101,101,3805,Attorney General, ,160200,Jeffrey Marc Siskind,NPA,"34
"
26,CLL,11/06/2018,101,101,3805,Attorney General, ,160200,OverVotes, ,"0
"
27,CLL,11/06/2018,101,101,3805,Attorney General, ,160200,UnderVotes, ,"51
"
28,CLL,11/06/2018,101,101,3805,Chief Financial Officer, ,160500,Jimmy Patronis,REP,"1695
"
29,CLL,11/06/2018,101,101,3805,Chief Financial Officer, ,160500,Jeremy Ring,DEM,"1026
"
30,CLL,11/06/2018,101,101,3805,Chief Financial Officer, ,160500,WriteinVotes, ,"0
"
31,CLL,11/06/2018,101,101,3805,Chief Financial Officer, ,160500,OverVotes, ,"0
"
32,CLL,11/06/2018,101,101,3805,Chief Financial Officer, ,160500,UnderVotes, ,"99
"
33,CLL,11/06/2018,101,101,3805,Commissioner of Agriculture, ,160800,Matt Caldwell,REP,"1660
"
34,CLL,11/06/2018,101,101,3805,Commissioner of Agriculture, ,160800,"Nicole ""Nikki"" Fried",DEM,"1055
"
35,CLL,11/06/2018,101,101,3805,Commissioner of Agriculture, ,160800,OverVotes, ,"0
"
36,CLL,11/06/2018,101,101,3805,Commissioner of Agriculture, ,160800,UnderVotes, ,"81
"
37,CLL,11/06/2018,101,101,3805,State Attorney, 20th Judicial Circuit,200200,Amira Fox,REP,"2072
"
38,CLL,11/06/2018,101,101,3805,State Attorney, 20th Judicial Circuit,200200,WriteinVotes, ,"63
"
39,CLL,11/06/2018,101,101,3805,State Attorney, 20th Judicial Circuit,200200,OverVotes, ,"0
"
40,CLL,11/06/2018,101,101,3805,State Attorney, 20th Judicial Circuit,200200,UnderVotes, ,"685
"
41,CLL,11/06/2018,101,101,3805,State Senator, District 28,240280,Kathleen Passidomo,REP,"1739
"
42,CLL,11/06/2018,101,101,3805,State Senator, District 28,240280,Annisa Karim,DEM,"1002
"
43,CLL,11/06/2018,101,101,3805,State Senator, District 28,240280,OverVotes, ,"0
"
44,CLL,11/06/2018,101,101,3805,State Senator, District 28,240280,UnderVotes, ,"79
"
45,CLL,11/06/2018,101,101,3805,State Representative, District 105,261050,Ana Maria Rodriguez,REP,"1175
"
46,CLL,11/06/2018,101,101,3805,State Representative, District 105,261050,Javier Estevez,DEM,"642
"
47,CLL,11/06/2018,101,101,3805,State Representative, District 105,261050,OverVotes, ,"0
"
48,CLL,11/06/2018,101,101,3805,State Representative, District 105,261050,UnderVotes, ,"66
"
49,CLL,11/06/2018,101,101,3805,State Representative, District 106,261060,Bob Rommel,REP,"532
"
50,CLL,11/06/2018,101,101,3805,State Representative, District 106,261060,Sara McFadden,DEM,"370
"
51,CLL,11/06/2018,101,101,3805,State Representative, District 106,261060,OverVotes, ,"1
"
52,CLL,11/06/2018,101,101,3805,State Representative, District 106,261060,UnderVotes, ,"34
"
53,CLL,11/06/2018,101,101,3805,Retention of Alan Lawson,Justice of the Supreme Court,500001,Yes,NOP,"1722
"
54,CLL,11/06/2018,101,101,3805,Retention of Alan Lawson,Justice of the Supreme Court,500001,No,NOP,"472
"
55,CLL,11/06/2018,101,101,3805,Retention of Alan Lawson,Justice of the Supreme Court,500001,OverVotes, ,"0
"
56,CLL,11/06/2018,101,101,3805,Retention of Alan Lawson,Justice of the Supreme Court,500001,UnderVotes, ,"626
"
57,CLL,11/06/2018,101,101,3805,Retention of Anthony K. Black,Second District Court of Appeal,520201,Yes,NOP,"1678
"
58,CLL,11/06/2018,101,101,3805,Retention of Anthony K. Black,Second District Court of Appeal,520201,No,NOP,"499
"
59,CLL,11/06/2018,101,101,3805,Retention of Anthony K. Black,Second District Court of Appeal,520201,OverVotes, ,"0
"
60,CLL,11/06/2018,101,101,3805,Retention of Anthony K. Black,Second District Court of Appeal,520201,UnderVotes, ,"643
"
61,CLL,11/06/2018,101,101,3805,Retention of Darryl C. Casanueva,Second District Court of Appeal,520202,Yes,NOP,"1601
"
62,CLL,11/06/2018,101,101,3805,Retention of Darryl C. Casanueva,Second District Court of Appeal,520202,No,NOP,"562
"
63,CLL,11/06/2018,101,101,3805,Retention of Darryl C. Casanueva,Second District Court of Appeal,520202,OverVotes, ,"0
"
64,CLL,11/06/2018,101,101,3805,Retention of Darryl C. Casanueva,Second District Court of Appeal,520202,UnderVotes, ,"657
"
65,CLL,11/06/2018,101,101,3805,Retention of Edward C. LaRose,Second District Court of Appeal,520203,Yes,NOP,"1736
"
66,CLL,11/06/2018,101,101,3805,Retention of Edward C. LaRose,Second District Court of Appeal,520203,No,NOP,"437
"
67,CLL,11/06/2018,101,101,3805,Retention of Edward C. LaRose,Second District Court of Appeal,520203,OverVotes, ,"1
"
68,CLL,11/06/2018,101,101,3805,Retention of Edward C. LaRose,Second District Court of Appeal,520203,UnderVotes, ,"646
"
69,CLL,11/06/2018,101,101,3805,Retention of Susan H. Rothstein-Youakim,Second District Court of Appeal,520204,Yes,NOP,"1734
"
70,CLL,11/06/2018,101,101,3805,Retention of Susan H. Rothstein-Youakim,Second District Court of Appeal,520204,No,NOP,"459
"
71,CLL,11/06/2018,101,101,3805,Retention of Susan H. Rothstein-Youakim,Second District Court of Appeal,520204,OverVotes, ,"1
"
72,CLL,11/06/2018,101,101,3805,Retention of Susan H. Rothstein-Youakim,Second District Court of Appeal,520204,UnderVotes, ,"626
"
73,CLL,11/06/2018,101,101,3805,County Court Judge, Group 2,600002,OverVotes, ,"1
"
74,CLL,11/06/2018,101,101,3805,County Court Judge, Group 2,600002,UnderVotes, ,"722
"
75,CLL,11/06/2018,101,101,3805,Collier Mosquito Control District, Seat 1,824501,Victor Dotres,NOP,"427
"
76,CLL,11/06/2018,101,101,3805,Collier Mosquito Control District, Seat 1,824501,John Johnson,NOP,"732
"
77,CLL,11/06/2018,101,101,3805,Collier Mosquito Control District, Seat 1,824501,Dennis G.E. Sanders,NOP,"342
"
78,CLL,11/06/2018,101,101,3805,Collier Mosquito Control District, Seat 1,824501,OverVotes, ,"0
"
79,CLL,11/06/2018,101,101,3805,Collier Mosquito Control District, Seat 1,824501,UnderVotes, ,"625
"
80,CLL,11/06/2018,101,101,3805,Collier Mosquito Control District, Seat 2,824502,Sandra Lee Buxton,NOP,"1120
"
81,CLL,11/06/2018,101,101,3805,Collier Mosquito Control District, Seat 2,824502,John E Shuey,NOP,"407
"
82,CLL,11/06/2018,101,101,3805,Collier Mosquito Control District, Seat 2,824502,OverVotes, ,"0
"
83,CLL,11/06/2018,101,101,3805,Collier Mosquito Control District, Seat 2,824502,UnderVotes, ,"599
"
84,CLL,11/06/2018,101,101,3805,Greater Naples Fire Rescue District, Seat 1,839601,Charlie Cottiers,NOP,"979
"
85,CLL,11/06/2018,101,101,3805,Greater Naples Fire Rescue District, Seat 1,839601,Brian Cross,NOP,"771
"
86,CLL,11/06/2018,101,101,3805,Greater Naples Fire Rescue District, Seat 1,839601,OverVotes, ,"0
"
87,CLL,11/06/2018,101,101,3805,Greater Naples Fire Rescue District, Seat 1,839601,UnderVotes, ,"655
"
