,County Code,Election Date,Unique PCT Identifier,Precinct Polling Location,Total Registered,Contest Name,District,Contest Code,Candidate,Party,Vote Total
0,LEE,11/06/2018,1,PCT. 001,2357,United States Senator, ,120000,Rick Scott,REP,"1275
"
1,LEE,11/06/2018,1,PCT. 001,2357,United States Senator, ,120000,Bill Nelson,DEM,"350
"
2,LEE,11/06/2018,1,PCT. 001,2357,United States Senator, ,120000,WriteinVotes, ,"10
"
3,LEE,11/06/2018,1,PCT. 001,2357,United States Senator, ,120000,OverVotes, ,"1
"
4,LEE,11/06/2018,1,PCT. 001,2357,United States Senator, ,120000,UnderVotes, ,"10
"
5,LEE,11/06/2018,1,PCT. 001,2357,Representative in Congress, District 17,140170,Greg Steube,REP,"1266
"
6,LEE,11/06/2018,1,PCT. 001,2357,Representative in Congress, District 17,140170,Allen Ellison,DEM,"328
"
7,LEE,11/06/2018,1,PCT. 001,2357,Representative in Congress, District 17,140170,OverVotes, ,"0
"
8,LEE,11/06/2018,1,PCT. 001,2357,Representative in Congress, District 17,140170,UnderVotes, ,"52
"
9,LEE,11/06/2018,1,PCT. 001,2357,Governor, ,160000,DeSantis / Nu̱ez,REP,"1283
"
10,LEE,11/06/2018,1,PCT. 001,2357,Governor, ,160000,Gillum / King,DEM,"326
"
11,LEE,11/06/2018,1,PCT. 001,2357,Governor, ,160000,Richardson / Argenziano,REF,"10
"
12,LEE,11/06/2018,1,PCT. 001,2357,Governor, ,160000,Gibson / Wilds,NPA,"11
"
13,LEE,11/06/2018,1,PCT. 001,2357,Governor, ,160000,Foley / Tutton,NPA,"1
"
14,LEE,11/06/2018,1,PCT. 001,2357,Governor, ,160000,Stanley / McJury,NPA,"2
"
15,LEE,11/06/2018,1,PCT. 001,2357,Governor, ,160000,WriteinVotes, ,"1
"
16,LEE,11/06/2018,1,PCT. 001,2357,Governor, ,160000,OverVotes, ,"6
"
17,LEE,11/06/2018,1,PCT. 001,2357,Governor, ,160000,UnderVotes, ,"6
"
18,LEE,11/06/2018,1,PCT. 001,2357,Attorney General, ,160200,Ashley Moody,REP,"1293
"
19,LEE,11/06/2018,1,PCT. 001,2357,Attorney General, ,160200,Sean Shaw,DEM,"275
"
20,LEE,11/06/2018,1,PCT. 001,2357,Attorney General, ,160200,Jeffrey Marc Siskind,NPA,"38
"
21,LEE,11/06/2018,1,PCT. 001,2357,Attorney General, ,160200,OverVotes, ,"0
"
22,LEE,11/06/2018,1,PCT. 001,2357,Attorney General, ,160200,UnderVotes, ,"40
"
23,LEE,11/06/2018,1,PCT. 001,2357,Chief Financial Officer, ,160500,Jimmy Patronis,REP,"1275
"
24,LEE,11/06/2018,1,PCT. 001,2357,Chief Financial Officer, ,160500,Jeremy Ring,DEM,"308
"
25,LEE,11/06/2018,1,PCT. 001,2357,Chief Financial Officer, ,160500,WriteinVotes, ,"0
"
26,LEE,11/06/2018,1,PCT. 001,2357,Chief Financial Officer, ,160500,OverVotes, ,"0
"
27,LEE,11/06/2018,1,PCT. 001,2357,Chief Financial Officer, ,160500,UnderVotes, ,"63
"
28,LEE,11/06/2018,1,PCT. 001,2357,Commissioner of Agriculture, ,160800,Matt Caldwell,REP,"1296
"
29,LEE,11/06/2018,1,PCT. 001,2357,Commissioner of Agriculture, ,160800,"Nicole ""Nikki"" Fried",DEM,"323
"
30,LEE,11/06/2018,1,PCT. 001,2357,Commissioner of Agriculture, ,160800,OverVotes, ,"0
"
31,LEE,11/06/2018,1,PCT. 001,2357,Commissioner of Agriculture, ,160800,UnderVotes, ,"27
"
32,LEE,11/06/2018,1,PCT. 001,2357,State Attorney, 20th Judicial Circuit,200200,Amira Fox,REP,"1362
"
33,LEE,11/06/2018,1,PCT. 001,2357,State Attorney, 20th Judicial Circuit,200200,WriteinVotes, ,"34
"
34,LEE,11/06/2018,1,PCT. 001,2357,State Attorney, 20th Judicial Circuit,200200,OverVotes, ,"1
"
35,LEE,11/06/2018,1,PCT. 001,2357,State Attorney, 20th Judicial Circuit,200200,UnderVotes, ,"249
"
36,LEE,11/06/2018,1,PCT. 001,2357,State Senator, District 26,240260,Ben Albritton,REP,"958
"
37,LEE,11/06/2018,1,PCT. 001,2357,State Senator, District 26,240260,Catherine Price,DEM,"229
"
38,LEE,11/06/2018,1,PCT. 001,2357,State Senator, District 26,240260,OverVotes, ,"0
"
39,LEE,11/06/2018,1,PCT. 001,2357,State Senator, District 26,240260,UnderVotes, ,"62
"
40,LEE,11/06/2018,1,PCT. 001,2357,State Senator, District 28,240280,Kathleen Passidomo,REP,"278
"
41,LEE,11/06/2018,1,PCT. 001,2357,State Senator, District 28,240280,Annisa Karim,DEM,"101
"
42,LEE,11/06/2018,1,PCT. 001,2357,State Senator, District 28,240280,OverVotes, ,"0
"
43,LEE,11/06/2018,1,PCT. 001,2357,State Senator, District 28,240280,UnderVotes, ,"18
"
44,LEE,11/06/2018,1,PCT. 001,2357,State Representative, District 79,260790,Spencer Roach,REP,"1250
"
45,LEE,11/06/2018,1,PCT. 001,2357,State Representative, District 79,260790,Mark Lipton,DEM,"332
"
46,LEE,11/06/2018,1,PCT. 001,2357,State Representative, District 79,260790,OverVotes, ,"0
"
47,LEE,11/06/2018,1,PCT. 001,2357,State Representative, District 79,260790,UnderVotes, ,"64
"
48,LEE,11/06/2018,1,PCT. 001,2357,County Commissioner, District 2,380020,Cecil Pendergrass,REP,"1266
"
49,LEE,11/06/2018,1,PCT. 001,2357,County Commissioner, District 2,380020,Bill Taylor,NPA,"294
"
50,LEE,11/06/2018,1,PCT. 001,2357,County Commissioner, District 2,380020,OverVotes, ,"0
"
51,LEE,11/06/2018,1,PCT. 001,2357,County Commissioner, District 2,380020,UnderVotes, ,"86
"
52,LEE,11/06/2018,1,PCT. 001,2357,Retention of Alan Lawson,Justice of the Supreme Court,500001,Yes,NOP,"979
"
53,LEE,11/06/2018,1,PCT. 001,2357,Retention of Alan Lawson,Justice of the Supreme Court,500001,No,NOP,"333
"
54,LEE,11/06/2018,1,PCT. 001,2357,Retention of Alan Lawson,Justice of the Supreme Court,500001,OverVotes, ,"1
"
55,LEE,11/06/2018,1,PCT. 001,2357,Retention of Alan Lawson,Justice of the Supreme Court,500001,UnderVotes, ,"333
"
56,LEE,11/06/2018,1,PCT. 001,2357,Retention of Anthony K. Black,Second District Court of Appeal,520201,Yes,NOP,"904
"
