,County Code,Election Date,Unique PCT Identifier,Precinct Polling Location,Total Registered,Contest Name,District,Contest Code,Candidate,Party,Vote Total
0,LEO,11/06/2018,1203,1203-5205  -- John Wesley UM Church,2765,United States Senator, ,120000,Rick Scott,REP,"265
"
1,LEO,11/06/2018,1203,1203-5205  -- John Wesley UM Church,2765,United States Senator, ,120000,Bill Nelson,DEM,"1369
"
2,LEO,11/06/2018,1203,1203-5205  -- John Wesley UM Church,2765,United States Senator, ,120000,WriteinVotes, ,"2
"
3,LEO,11/06/2018,1203,1203-5205  -- John Wesley UM Church,2765,United States Senator, ,120000,OverVotes, ,"0
"
4,LEO,11/06/2018,1203,1203-5205  -- John Wesley UM Church,2765,United States Senator, ,120000,UnderVotes, ,"12
"
5,LEO,11/06/2018,1203,1203-5205  -- John Wesley UM Church,2765,Representative in Congress, District 5,140050,Virginia Fuller,REP,"254
"
6,LEO,11/06/2018,1203,1203-5205  -- John Wesley UM Church,2765,Representative in Congress, District 5,140050,Al Lawson,DEM,"1364
"
7,LEO,11/06/2018,1203,1203-5205  -- John Wesley UM Church,2765,Representative in Congress, District 5,140050,OverVotes, ,"0
"
8,LEO,11/06/2018,1203,1203-5205  -- John Wesley UM Church,2765,Representative in Congress, District 5,140050,UnderVotes, ,"30
"
9,LEO,11/06/2018,1203,1203-5205  -- John Wesley UM Church,2765,Governor, ,160000,DeSantis / Nu̱ez,REP,"256
"
10,LEO,11/06/2018,1203,1203-5205  -- John Wesley UM Church,2765,Governor, ,160000,Gillum / King,DEM,"1369
"
11,LEO,11/06/2018,1203,1203-5205  -- John Wesley UM Church,2765,Governor, ,160000,Richardson / Argenziano,REF,"6
"
12,LEO,11/06/2018,1203,1203-5205  -- John Wesley UM Church,2765,Governor, ,160000,Gibson / Wilds,NPA,"3
"
13,LEO,11/06/2018,1203,1203-5205  -- John Wesley UM Church,2765,Governor, ,160000,Foley / Tutton,NPA,"3
"
14,LEO,11/06/2018,1203,1203-5205  -- John Wesley UM Church,2765,Governor, ,160000,Stanley / McJury,NPA,"3
"
15,LEO,11/06/2018,1203,1203-5205  -- John Wesley UM Church,2765,Governor, ,160000,WriteinVotes, ,"1
"
16,LEO,11/06/2018,1203,1203-5205  -- John Wesley UM Church,2765,Governor, ,160000,OverVotes, ,"0
"
