,County Code,Election Date,Unique PCT Identifier,Precinct Polling Location,Total Registered,Contest Name,District,Contest Code,Candidate,Party,Vote Total
0,MAD,11/06/2018,1,Agriculture Center,2260,United States Senator, ,120000,Rick Scott,REP,"747
"
1,MAD,11/06/2018,1,Agriculture Center,2260,United States Senator, ,120000,Bill Nelson,DEM,"674
"
2,MAD,11/06/2018,1,Agriculture Center,2260,United States Senator, ,120000,WriteinVotes, ,"2
"
3,MAD,11/06/2018,1,Agriculture Center,2260,United States Senator, ,120000,OverVotes, ,"0
"
4,MAD,11/06/2018,1,Agriculture Center,2260,United States Senator, ,120000,UnderVotes, ,"8
"
5,MAD,11/06/2018,1,Agriculture Center,2260,Representative in Congress, District 5,140050,Virginia Fuller,REP,"729
"
6,MAD,11/06/2018,1,Agriculture Center,2260,Representative in Congress, District 5,140050,Al Lawson,DEM,"680
"
7,MAD,11/06/2018,1,Agriculture Center,2260,Representative in Congress, District 5,140050,OverVotes, ,"0
"
8,MAD,11/06/2018,1,Agriculture Center,2260,Representative in Congress, District 5,140050,UnderVotes, ,"22
"
9,MAD,11/06/2018,1,Agriculture Center,2260,Governor, ,160000,DeSantis / Nu̱ez,REP,"770
"
10,MAD,11/06/2018,1,Agriculture Center,2260,Governor, ,160000,Gillum / King,DEM,"649
"
11,MAD,11/06/2018,1,Agriculture Center,2260,Governor, ,160000,Richardson / Argenziano,REF,"2
"
12,MAD,11/06/2018,1,Agriculture Center,2260,Governor, ,160000,Gibson / Wilds,NPA,"2
"
13,MAD,11/06/2018,1,Agriculture Center,2260,Governor, ,160000,Foley / Tutton,NPA,"2
"
14,MAD,11/06/2018,1,Agriculture Center,2260,Governor, ,160000,Stanley / McJury,NPA,"1
"
15,MAD,11/06/2018,1,Agriculture Center,2260,Governor, ,160000,WriteinVotes, ,"0
"
16,MAD,11/06/2018,1,Agriculture Center,2260,Governor, ,160000,OverVotes, ,"1
"
17,MAD,11/06/2018,1,Agriculture Center,2260,Governor, ,160000,UnderVotes, ,"4
"
18,MAD,11/06/2018,1,Agriculture Center,2260,Attorney General, ,160200,Ashley Moody,REP,"798
"
19,MAD,11/06/2018,1,Agriculture Center,2260,Attorney General, ,160200,Sean Shaw,DEM,"604
"
20,MAD,11/06/2018,1,Agriculture Center,2260,Attorney General, ,160200,Jeffrey Marc Siskind,NPA,"12
"
21,MAD,11/06/2018,1,Agriculture Center,2260,Attorney General, ,160200,OverVotes, ,"0
"
22,MAD,11/06/2018,1,Agriculture Center,2260,Attorney General, ,160200,UnderVotes, ,"17
"
23,MAD,11/06/2018,1,Agriculture Center,2260,Chief Financial Officer, ,160500,Jimmy Patronis,REP,"776
"
24,MAD,11/06/2018,1,Agriculture Center,2260,Chief Financial Officer, ,160500,Jeremy Ring,DEM,"623
"
25,MAD,11/06/2018,1,Agriculture Center,2260,Chief Financial Officer, ,160500,WriteinVotes, ,"1
"
26,MAD,11/06/2018,1,Agriculture Center,2260,Chief Financial Officer, ,160500,OverVotes, ,"0
"
27,MAD,11/06/2018,1,Agriculture Center,2260,Chief Financial Officer, ,160500,UnderVotes, ,"31
"
28,MAD,11/06/2018,1,Agriculture Center,2260,Commissioner of Agriculture, ,160800,Matt Caldwell,REP,"780
"
29,MAD,11/06/2018,1,Agriculture Center,2260,Commissioner of Agriculture, ,160800,"Nicole ""Nikki"" Fried",DEM,"622
"
30,MAD,11/06/2018,1,Agriculture Center,2260,Commissioner of Agriculture, ,160800,OverVotes, ,"0
"
31,MAD,11/06/2018,1,Agriculture Center,2260,Commissioner of Agriculture, ,160800,UnderVotes, ,"29
"
32,MAD,11/06/2018,1,Agriculture Center,2260,Madison Soil and Water Conservation District, Group 2,863002,Martha  F. Carter,NOP,"439
"
33,MAD,11/06/2018,1,Agriculture Center,2260,Madison Soil and Water Conservation District, Group 2,863002,Margie  Foust  McLeod,NOP,"842
"
34,MAD,11/06/2018,1,Agriculture Center,2260,Madison Soil and Water Conservation District, Group 2,863002,OverVotes, ,"0
"
35,MAD,11/06/2018,1,Agriculture Center,2260,Madison Soil and Water Conservation District, Group 2,863002,UnderVotes, ,"150
"
36,MAD,11/06/2018,1,Agriculture Center,2260,Retention of Alan Lawson,Justice of the Supreme Court,500001,Yes,NOP,"907
"
37,MAD,11/06/2018,1,Agriculture Center,2260,Retention of Alan Lawson,Justice of the Supreme Court,500001,No,NOP,"426
"
38,MAD,11/06/2018,1,Agriculture Center,2260,Retention of Alan Lawson,Justice of the Supreme Court,500001,OverVotes, ,"1
"
39,MAD,11/06/2018,1,Agriculture Center,2260,Retention of Alan Lawson,Justice of the Supreme Court,500001,UnderVotes, ,"97
"
40,MAD,11/06/2018,1,Agriculture Center,2260,Retention of Harvey Jay,First District Court of Appeal,520101,Yes,NOP,"826
"
41,MAD,11/06/2018,1,Agriculture Center,2260,Retention of Harvey Jay,First District Court of Appeal,520101,No,NOP,"471
"
42,MAD,11/06/2018,1,Agriculture Center,2260,Retention of Harvey Jay,First District Court of Appeal,520101,OverVotes, ,"1
"
43,MAD,11/06/2018,1,Agriculture Center,2260,Retention of Harvey Jay,First District Court of Appeal,520101,UnderVotes, ,"133
"
44,MAD,11/06/2018,1,Agriculture Center,2260,Retention of Stephanie Ray,First District Court of Appeal,520102,Yes,NOP,"820
"
45,MAD,11/06/2018,1,Agriculture Center,2260,Retention of Stephanie Ray,First District Court of Appeal,520102,No,NOP,"463
"
46,MAD,11/06/2018,1,Agriculture Center,2260,Retention of Stephanie Ray,First District Court of Appeal,520102,OverVotes, ,"0
"
47,MAD,11/06/2018,1,Agriculture Center,2260,Retention of Stephanie Ray,First District Court of Appeal,520102,UnderVotes, ,"148
"
48,MAD,11/06/2018,1,Agriculture Center,2260,Retention of Brad Thomas,First District Court of Appeal,520103,Yes,NOP,"814
"
49,MAD,11/06/2018,1,Agriculture Center,2260,Retention of Brad Thomas,First District Court of Appeal,520103,No,NOP,"480
"
50,MAD,11/06/2018,1,Agriculture Center,2260,Retention of Brad Thomas,First District Court of Appeal,520103,OverVotes, ,"1
"
51,MAD,11/06/2018,1,Agriculture Center,2260,Retention of Brad Thomas,First District Court of Appeal,520103,UnderVotes, ,"136
"
52,MAD,11/06/2018,1,Agriculture Center,2260,Retention of Kemmerly Thomas,First District Court of Appeal,520104,Yes,NOP,"810
"
53,MAD,11/06/2018,1,Agriculture Center,2260,Retention of Kemmerly Thomas,First District Court of Appeal,520104,No,NOP,"476
"
54,MAD,11/06/2018,1,Agriculture Center,2260,Retention of Kemmerly Thomas,First District Court of Appeal,520104,OverVotes, ,"0
"
55,MAD,11/06/2018,1,Agriculture Center,2260,Retention of Kemmerly Thomas,First District Court of Appeal,520104,UnderVotes, ,"145
"
56,MAD,11/06/2018,1,Agriculture Center,2260,Retention of Allen Winsor,First District Court of Appeal,520105,Yes,NOP,"794
"
57,MAD,11/06/2018,1,Agriculture Center,2260,Retention of Allen Winsor,First District Court of Appeal,520105,No,NOP,"495
"
58,MAD,11/06/2018,1,Agriculture Center,2260,Retention of Allen Winsor,First District Court of Appeal,520105,OverVotes, ,"0
"
59,MAD,11/06/2018,1,Agriculture Center,2260,Retention of Allen Winsor,First District Court of Appeal,520105,UnderVotes, ,"142
"
60,MAD,11/06/2018,1,Agriculture Center,2260,Amendment No. 1: Increased Homestead Property Tax Exemption, ,900001,Yes for Approval,NOP,"674
"
61,MAD,11/06/2018,1,Agriculture Center,2260,Amendment No. 1: Increased Homestead Property Tax Exemption, ,900001,No for Rejection,NOP,"714
"
62,MAD,11/06/2018,1,Agriculture Center,2260,Amendment No. 1: Increased Homestead Property Tax Exemption, ,900001,OverVotes, ,"2
"
63,MAD,11/06/2018,1,Agriculture Center,2260,Amendment No. 1: Increased Homestead Property Tax Exemption, ,900001,UnderVotes, ,"41
"
64,MAD,11/06/2018,1,Agriculture Center,2260,Amendment No. 2: Limitations on Property Tax Assessments, ,900002,Yes for Approval,NOP,"894
"
65,MAD,11/06/2018,1,Agriculture Center,2260,Amendment No. 2: Limitations on Property Tax Assessments, ,900002,No for Rejection,NOP,"497
"
66,MAD,11/06/2018,1,Agriculture Center,2260,Amendment No. 2: Limitations on Property Tax Assessments, ,900002,OverVotes, ,"2
"
67,MAD,11/06/2018,1,Agriculture Center,2260,Amendment No. 2: Limitations on Property Tax Assessments, ,900002,UnderVotes, ,"38
"
68,MAD,11/06/2018,1,Agriculture Center,2260,Amendment No. 3: Voter Control of Gambling in Florida, ,900003,Yes for Approval,NOP,"964
"
