,County Code,Election Date,Unique PCT Identifier,Precinct Polling Location,Total Registered,Contest Name,District,Contest Code,Candidate,Party,Vote Total
0,MRN,11/06/2018,1,0001,1054,United States Senator, ,120000,Rick Scott,REP,"405
"
1,MRN,11/06/2018,1,0001,1054,United States Senator, ,120000,Bill Nelson,DEM,"251
"
2,MRN,11/06/2018,1,0001,1054,United States Senator, ,120000,WriteinVotes, ,"5
"
3,MRN,11/06/2018,1,0001,1054,United States Senator, ,120000,OverVotes, ,"0
"
4,MRN,11/06/2018,1,0001,1054,United States Senator, ,120000,UnderVotes, ,"4
"
5,MRN,11/06/2018,1,0001,1054,Representative in Congress, District 3,140030,Ted Yoho,REP,"412
"
6,MRN,11/06/2018,1,0001,1054,Representative in Congress, District 3,140030,Yvonne Hayes Hinson,DEM,"235
"
7,MRN,11/06/2018,1,0001,1054,Representative in Congress, District 3,140030,OverVotes, ,"1
"
8,MRN,11/06/2018,1,0001,1054,Representative in Congress, District 3,140030,UnderVotes, ,"17
"
9,MRN,11/06/2018,1,0001,1054,Governor, ,160000,DeSantis / Nu̱ez,REP,"400
"
10,MRN,11/06/2018,1,0001,1054,Governor, ,160000,Gillum / King,DEM,"250
"
11,MRN,11/06/2018,1,0001,1054,Governor, ,160000,Richardson / Argenziano,REF,"6
"
12,MRN,11/06/2018,1,0001,1054,Governor, ,160000,Gibson / Wilds,NPA,"1
"
13,MRN,11/06/2018,1,0001,1054,Governor, ,160000,Foley / Tutton,NPA,"0
"
14,MRN,11/06/2018,1,0001,1054,Governor, ,160000,Stanley / McJury,NPA,"0
"
15,MRN,11/06/2018,1,0001,1054,Governor, ,160000,WriteinVotes, ,"0
"
16,MRN,11/06/2018,1,0001,1054,Governor, ,160000,OverVotes, ,"1
"
17,MRN,11/06/2018,1,0001,1054,Governor, ,160000,UnderVotes, ,"7
"
18,MRN,11/06/2018,1,0001,1054,Attorney General, ,160200,Ashley Moody,REP,"418
"
19,MRN,11/06/2018,1,0001,1054,Attorney General, ,160200,Sean Shaw,DEM,"211
"
20,MRN,11/06/2018,1,0001,1054,Attorney General, ,160200,Jeffrey Marc Siskind,NPA,"18
"
21,MRN,11/06/2018,1,0001,1054,Attorney General, ,160200,OverVotes, ,"1
"
22,MRN,11/06/2018,1,0001,1054,Attorney General, ,160200,UnderVotes, ,"17
"
23,MRN,11/06/2018,1,0001,1054,Chief Financial Officer, ,160500,Jimmy Patronis,REP,"406
"
24,MRN,11/06/2018,1,0001,1054,Chief Financial Officer, ,160500,Jeremy Ring,DEM,"230
"
25,MRN,11/06/2018,1,0001,1054,Chief Financial Officer, ,160500,WriteinVotes, ,"1
"
26,MRN,11/06/2018,1,0001,1054,Chief Financial Officer, ,160500,OverVotes, ,"0
"
27,MRN,11/06/2018,1,0001,1054,Chief Financial Officer, ,160500,UnderVotes, ,"28
"
28,MRN,11/06/2018,1,0001,1054,Commissioner of Agriculture, ,160800,Matt Caldwell,REP,"401
"
29,MRN,11/06/2018,1,0001,1054,Commissioner of Agriculture, ,160800,"Nicole ""Nikki"" Fried",DEM,"237
"
30,MRN,11/06/2018,1,0001,1054,Commissioner of Agriculture, ,160800,OverVotes, ,"0
"
31,MRN,11/06/2018,1,0001,1054,Commissioner of Agriculture, ,160800,UnderVotes, ,"27
"
32,MRN,11/06/2018,1,0001,1054,State Senator, District 8,240080,Keith Perry,REP,"406
"
33,MRN,11/06/2018,1,0001,1054,State Senator, District 8,240080,Kayser Enneking,DEM,"234
"
34,MRN,11/06/2018,1,0001,1054,State Senator, District 8,240080,Charles E. Goston,NPA,"12
"
35,MRN,11/06/2018,1,0001,1054,State Senator, District 8,240080,OverVotes, ,"0
"
36,MRN,11/06/2018,1,0001,1054,State Senator, District 8,240080,UnderVotes, ,"13
"
37,MRN,11/06/2018,1,0001,1054,State Representative, District 23,260230,Stan McClain,REP,"403
"
38,MRN,11/06/2018,1,0001,1054,State Representative, District 23,260230,Carl Griffin,DEM,"239
"
39,MRN,11/06/2018,1,0001,1054,State Representative, District 23,260230,OverVotes, ,"0
"
40,MRN,11/06/2018,1,0001,1054,State Representative, District 23,260230,UnderVotes, ,"23
"
41,MRN,11/06/2018,1,0001,1054,County Commissioner, District 2,380020,Kathy Bryant,REP,"484
"
42,MRN,11/06/2018,1,0001,1054,County Commissioner, District 2,380020,WriteinVotes, ,"42
"
43,MRN,11/06/2018,1,0001,1054,County Commissioner, District 2,380020,OverVotes, ,"0
"
44,MRN,11/06/2018,1,0001,1054,County Commissioner, District 2,380020,UnderVotes, ,"139
"
45,MRN,11/06/2018,1,0001,1054,County Commissioner, District 4,380040,Carl Zalak III,REP,"465
"
46,MRN,11/06/2018,1,0001,1054,County Commissioner, District 4,380040,WriteinVotes, ,"37
"
47,MRN,11/06/2018,1,0001,1054,County Commissioner, District 4,380040,OverVotes, ,"0
"
48,MRN,11/06/2018,1,0001,1054,County Commissioner, District 4,380040,UnderVotes, ,"163
"
49,MRN,11/06/2018,1,0001,1054,Retention of Alan Lawson,Justice of the Supreme Court,500001,Yes,NOP,"414
"
50,MRN,11/06/2018,1,0001,1054,Retention of Alan Lawson,Justice of the Supreme Court,500001,No,NOP,"151
"
51,MRN,11/06/2018,1,0001,1054,Retention of Alan Lawson,Justice of the Supreme Court,500001,OverVotes, ,"1
"
52,MRN,11/06/2018,1,0001,1054,Retention of Alan Lawson,Justice of the Supreme Court,500001,UnderVotes, ,"99
"
53,MRN,11/06/2018,1,0001,1054,Retention of Eric Eisnaugle,Fifth District Court of Appeal,520501,Yes,NOP,"374
"
54,MRN,11/06/2018,1,0001,1054,Retention of Eric Eisnaugle,Fifth District Court of Appeal,520501,No,NOP,"190
"
55,MRN,11/06/2018,1,0001,1054,Retention of Eric Eisnaugle,Fifth District Court of Appeal,520501,OverVotes, ,"0
"
56,MRN,11/06/2018,1,0001,1054,Retention of Eric Eisnaugle,Fifth District Court of Appeal,520501,UnderVotes, ,"101
"
57,MRN,11/06/2018,1,0001,1054,School Board, District 3,690003,Eric R. Cummings,NOP,"295
"
58,MRN,11/06/2018,1,0001,1054,School Board, District 3,690003,Ed Wilson,NOP,"263
"
59,MRN,11/06/2018,1,0001,1054,School Board, District 3,690003,OverVotes, ,"1
"
60,MRN,11/06/2018,1,0001,1054,School Board, District 3,690003,UnderVotes, ,"106
"
61,MRN,11/06/2018,1,0001,1054,School Board, District 4,690004,Angie Boynton,NOP,"194
"
62,MRN,11/06/2018,1,0001,1054,School Board, District 4,690004,Nancy Thrower,NOP,"381
"
63,MRN,11/06/2018,1,0001,1054,School Board, District 4,690004,OverVotes, ,"0
"
64,MRN,11/06/2018,1,0001,1054,School Board, District 4,690004,UnderVotes, ,"90
"
65,MRN,11/06/2018,1,0001,1054,School Board, District 5,690005,Shelia Arnett,NOP,"226
"
66,MRN,11/06/2018,1,0001,1054,School Board, District 5,690005,Kelly King,NOP,"336
"
67,MRN,11/06/2018,1,0001,1054,School Board, District 5,690005,OverVotes, ,"0
"
68,MRN,11/06/2018,1,0001,1054,School Board, District 5,690005,UnderVotes, ,"103
"
69,MRN,11/06/2018,1,0001,1054,Amendment No. 1: Increased Homestead Property Tax Exemption, ,900001,Yes for Approval,NOP,"299
"
70,MRN,11/06/2018,1,0001,1054,Amendment No. 1: Increased Homestead Property Tax Exemption, ,900001,No for Rejection,NOP,"342
"
71,MRN,11/06/2018,1,0001,1054,Amendment No. 1: Increased Homestead Property Tax Exemption, ,900001,OverVotes, ,"2
"
72,MRN,11/06/2018,1,0001,1054,Amendment No. 1: Increased Homestead Property Tax Exemption, ,900001,UnderVotes, ,"22
"
73,MRN,11/06/2018,1,0001,1054,Amendment No. 2: Limitations on Property Tax Assessments, ,900002,Yes for Approval,NOP,"383
"
74,MRN,11/06/2018,1,0001,1054,Amendment No. 2: Limitations on Property Tax Assessments, ,900002,No for Rejection,NOP,"242
"
75,MRN,11/06/2018,1,0001,1054,Amendment No. 2: Limitations on Property Tax Assessments, ,900002,OverVotes, ,"0
"
76,MRN,11/06/2018,1,0001,1054,Amendment No. 2: Limitations on Property Tax Assessments, ,900002,UnderVotes, ,"40
"
77,MRN,11/06/2018,1,0001,1054,Amendment No. 3: Voter Control of Gambling in Florida, ,900003,Yes for Approval,NOP,"440
"
78,MRN,11/06/2018,1,0001,1054,Amendment No. 3: Voter Control of Gambling in Florida, ,900003,No for Rejection,NOP,"203
"
79,MRN,11/06/2018,1,0001,1054,Amendment No. 3: Voter Control of Gambling in Florida, ,900003,OverVotes, ,"0
"
80,MRN,11/06/2018,1,0001,1054,Amendment No. 3: Voter Control of Gambling in Florida, ,900003,UnderVotes, ,"22
"
81,MRN,11/06/2018,1,0001,1054,Amendment No. 4: Voting Restoration Amendment, ,900004,Yes for Approval,NOP,"377
"
82,MRN,11/06/2018,1,0001,1054,Amendment No. 4: Voting Restoration Amendment, ,900004,No for Rejection,NOP,"267
"
83,MRN,11/06/2018,1,0001,1054,Amendment No. 4: Voting Restoration Amendment, ,900004,OverVotes, ,"0
"
84,MRN,11/06/2018,1,0001,1054,Amendment No. 4: Voting Restoration Amendment, ,900004,UnderVotes, ,"21
"
85,MRN,11/06/2018,1,0001,1054,"Amendment No. 5: Supermajority Vote Required to Impose, Authorize, or Raise State Taxes or Fees"," Authorize, or Raise State Taxes or Fees",900005,Yes for Approval,NOP,"367
"
86,MRN,11/06/2018,1,0001,1054,"Amendment No. 5: Supermajority Vote Required to Impose, Authorize, or Raise State Taxes or Fees"," Authorize, or Raise State Taxes or Fees",900005,No for Rejection,NOP,"262
"
87,MRN,11/06/2018,1,0001,1054,"Amendment No. 5: Supermajority Vote Required to Impose, Authorize, or Raise State Taxes or Fees"," Authorize, or Raise State Taxes or Fees",900005,OverVotes, ,"0
"
88,MRN,11/06/2018,1,0001,1054,"Amendment No. 5: Supermajority Vote Required to Impose, Authorize, or Raise State Taxes or Fees"," Authorize, or Raise State Taxes or Fees",900005,UnderVotes, ,"36
"
89,MRN,11/06/2018,1,0001,1054,Amendment No. 6: Rights of Crime Victims; Judges, ,900006,Yes for Approval,NOP,"358
"
90,MRN,11/06/2018,1,0001,1054,Amendment No. 6: Rights of Crime Victims; Judges, ,900006,No for Rejection,NOP,"281
"
91,MRN,11/06/2018,1,0001,1054,Amendment No. 6: Rights of Crime Victims; Judges, ,900006,OverVotes, ,"0
"
92,MRN,11/06/2018,1,0001,1054,Amendment No. 6: Rights of Crime Victims; Judges, ,900006,UnderVotes, ,"26
"
93,MRN,11/06/2018,1,0001,1054,Amendment No. 7: First Responder and Military Member Survivor Benefits; Public Colleges and Universities, ,900007,Yes for Approval,NOP,"373
"
94,MRN,11/06/2018,1,0001,1054,Amendment No. 7: First Responder and Military Member Survivor Benefits; Public Colleges and Universities, ,900007,No for Rejection,NOP,"268
"
95,MRN,11/06/2018,1,0001,1054,Amendment No. 7: First Responder and Military Member Survivor Benefits; Public Colleges and Universities, ,900007,OverVotes, ,"0
"
96,MRN,11/06/2018,1,0001,1054,Amendment No. 7: First Responder and Military Member Survivor Benefits; Public Colleges and Universities, ,900007,UnderVotes, ,"24
"
97,MRN,11/06/2018,1,0001,1054,Amendment No. 9: Prohibits Offshore Oil and Gas Drilling; Prohibits Vaping in Enclosed Indoor Workplaces, ,900009,Yes for Approval,NOP,"400
"
98,MRN,11/06/2018,1,0001,1054,Amendment No. 9: Prohibits Offshore Oil and Gas Drilling; Prohibits Vaping in Enclosed Indoor Workplaces, ,900009,No for Rejection,NOP,"244
"
99,MRN,11/06/2018,1,0001,1054,Amendment No. 9: Prohibits Offshore Oil and Gas Drilling; Prohibits Vaping in Enclosed Indoor Workplaces, ,900009,OverVotes, ,"0
"
100,MRN,11/06/2018,1,0001,1054,Amendment No. 9: Prohibits Offshore Oil and Gas Drilling; Prohibits Vaping in Enclosed Indoor Workplaces, ,900009,UnderVotes, ,"21
"
101,MRN,11/06/2018,1,0001,1054,Amendment No. 10: State and Local Government Structure and Operation, ,900010,Yes for Approval,NOP,"362
"
102,MRN,11/06/2018,1,0001,1054,Amendment No. 10: State and Local Government Structure and Operation, ,900010,No for Rejection,NOP,"265
"
103,MRN,11/06/2018,1,0001,1054,Amendment No. 10: State and Local Government Structure and Operation, ,900010,OverVotes, ,"0
"
104,MRN,11/06/2018,1,0001,1054,Amendment No. 10: State and Local Government Structure and Operation, ,900010,UnderVotes, ,"38
"
105,MRN,11/06/2018,1,0001,1054,Amendment No. 11: Property Rights; Removal of Obsolete Provision; Criminal Statutes, ,900011,Yes for Approval,NOP,"344
"
106,MRN,11/06/2018,1,0001,1054,Amendment No. 11: Property Rights; Removal of Obsolete Provision; Criminal Statutes, ,900011,No for Rejection,NOP,"270
"
107,MRN,11/06/2018,1,0001,1054,Amendment No. 11: Property Rights; Removal of Obsolete Provision; Criminal Statutes, ,900011,OverVotes, ,"1
"
108,MRN,11/06/2018,1,0001,1054,Amendment No. 11: Property Rights; Removal of Obsolete Provision; Criminal Statutes, ,900011,UnderVotes, ,"50
"
109,MRN,11/06/2018,1,0001,1054,Amendment No. 12: Lobbying and Abuse of Office by Public Officers, ,900012,Yes for Approval,NOP,"462
"
110,MRN,11/06/2018,1,0001,1054,Amendment No. 12: Lobbying and Abuse of Office by Public Officers, ,900012,No for Rejection,NOP,"171
"
111,MRN,11/06/2018,1,0001,1054,Amendment No. 12: Lobbying and Abuse of Office by Public Officers, ,900012,OverVotes, ,"1
"
112,MRN,11/06/2018,1,0001,1054,Amendment No. 12: Lobbying and Abuse of Office by Public Officers, ,900012,UnderVotes, ,"31
"
113,MRN,11/06/2018,1,0001,1054,Amendment No. 13: Ends Dog Racing, ,900013,Yes for Approval,NOP,"412
"
114,MRN,11/06/2018,1,0001,1054,Amendment No. 13: Ends Dog Racing, ,900013,No for Rejection,NOP,"231
"
115,MRN,11/06/2018,1,0001,1054,Amendment No. 13: Ends Dog Racing, ,900013,OverVotes, ,"0
"
116,MRN,11/06/2018,1,0001,1054,Amendment No. 13: Ends Dog Racing, ,900013,UnderVotes, ,"22
"
117,MRN,11/06/2018,2,0002,954,United States Senator, ,120000,Rick Scott,REP,"24
"
118,MRN,11/06/2018,2,0002,954,United States Senator, ,120000,Bill Nelson,DEM,"412
"
119,MRN,11/06/2018,2,0002,954,United States Senator, ,120000,WriteinVotes, ,"1
"
120,MRN,11/06/2018,2,0002,954,United States Senator, ,120000,OverVotes, ,"1
"
121,MRN,11/06/2018,2,0002,954,United States Senator, ,120000,UnderVotes, ,"3
"
122,MRN,11/06/2018,2,0002,954,Representative in Congress, District 3,140030,Ted Yoho,REP,"16
"
123,MRN,11/06/2018,2,0002,954,Representative in Congress, District 3,140030,Yvonne Hayes Hinson,DEM,"413
"
