,County Code,Election Date,Unique PCT Identifier,Precinct Polling Location,Total Registered,Contest Name,District,Contest Code,Candidate,Party,Vote Total
0,SAR,11/06/2018,101,101,129,United States Senator, ,120000,Rick Scott,REP,"22
"
1,SAR,11/06/2018,101,101,129,United States Senator, ,120000,Bill Nelson,DEM,"63
"
2,SAR,11/06/2018,101,101,129,United States Senator, ,120000,WriteinVotes, ,"0
"
3,SAR,11/06/2018,101,101,129,United States Senator, ,120000,OverVotes, ,"0
"
4,SAR,11/06/2018,101,101,129,United States Senator, ,120000,UnderVotes, ,"0
"
5,SAR,11/06/2018,101,101,129,Representative in Congress, District 16,140160,Vern Buchanan,REP,"19
"
6,SAR,11/06/2018,101,101,129,Representative in Congress, District 16,140160,David Shapiro,DEM,"63
"
7,SAR,11/06/2018,101,101,129,Representative in Congress, District 16,140160,OverVotes, ,"0
"
8,SAR,11/06/2018,101,101,129,Representative in Congress, District 16,140160,UnderVotes, ,"3
"
9,SAR,11/06/2018,101,101,129,Governor, ,160000,DeSantis / Nu̱ez,REP,"20
"
10,SAR,11/06/2018,101,101,129,Governor, ,160000,Gillum / King,DEM,"64
"
11,SAR,11/06/2018,101,101,129,Governor, ,160000,Richardson / Argenziano,REF,"0
"
12,SAR,11/06/2018,101,101,129,Governor, ,160000,Gibson / Wilds,NPA,"0
"
13,SAR,11/06/2018,101,101,129,Governor, ,160000,Foley / Tutton,NPA,"0
"
14,SAR,11/06/2018,101,101,129,Governor, ,160000,Stanley / McJury,NPA,"1
"
15,SAR,11/06/2018,101,101,129,Governor, ,160000,WriteinVotes, ,"0
"
16,SAR,11/06/2018,101,101,129,Governor, ,160000,OverVotes, ,"0
"
17,SAR,11/06/2018,101,101,129,Governor, ,160000,UnderVotes, ,"0
"
18,SAR,11/06/2018,101,101,129,Attorney General, ,160200,Ashley Moody,REP,"22
"
19,SAR,11/06/2018,101,101,129,Attorney General, ,160200,Sean Shaw,DEM,"60
"
20,SAR,11/06/2018,101,101,129,Attorney General, ,160200,Jeffrey Marc Siskind,NPA,"2
"
21,SAR,11/06/2018,101,101,129,Attorney General, ,160200,OverVotes, ,"0
"
22,SAR,11/06/2018,101,101,129,Attorney General, ,160200,UnderVotes, ,"1
"
23,SAR,11/06/2018,101,101,129,Chief Financial Officer, ,160500,Jimmy Patronis,REP,"21
"
24,SAR,11/06/2018,101,101,129,Chief Financial Officer, ,160500,Jeremy Ring,DEM,"63
"
25,SAR,11/06/2018,101,101,129,Chief Financial Officer, ,160500,WriteinVotes, ,"0
"
26,SAR,11/06/2018,101,101,129,Chief Financial Officer, ,160500,OverVotes, ,"0
"
27,SAR,11/06/2018,101,101,129,Chief Financial Officer, ,160500,UnderVotes, ,"1
"
28,SAR,11/06/2018,101,101,129,Commissioner of Agriculture, ,160800,Matt Caldwell,REP,"19
"
29,SAR,11/06/2018,101,101,129,Commissioner of Agriculture, ,160800,"Nicole ""Nikki"" Fried",DEM,"64
"
30,SAR,11/06/2018,101,101,129,Commissioner of Agriculture, ,160800,OverVotes, ,"0
"
31,SAR,11/06/2018,101,101,129,Commissioner of Agriculture, ,160800,UnderVotes, ,"2
"
32,SAR,11/06/2018,101,101,129,State Senator, District 23,240230,Joe Gruters,REP,"21
"
33,SAR,11/06/2018,101,101,129,State Senator, District 23,240230,Faith Olivia Babis,DEM,"62
"
34,SAR,11/06/2018,101,101,129,State Senator, District 23,240230,OverVotes, ,"0
"
35,SAR,11/06/2018,101,101,129,State Senator, District 23,240230,UnderVotes, ,"2
"
36,SAR,11/06/2018,101,101,129,State Representative, District 71,260710,Will Robinson,REP,"21
"
37,SAR,11/06/2018,101,101,129,State Representative, District 71,260710,Tracy B. Pratt,DEM,"63
"
38,SAR,11/06/2018,101,101,129,State Representative, District 71,260710,OverVotes, ,"0
"
39,SAR,11/06/2018,101,101,129,State Representative, District 71,260710,UnderVotes, ,"1
"
40,SAR,11/06/2018,101,101,129,County Commissioner, District 2,380020,Christian Ziegler,REP,"21
"
41,SAR,11/06/2018,101,101,129,County Commissioner, District 2,380020,Ruta Maria Jouniari,DEM,"59
"
42,SAR,11/06/2018,101,101,129,County Commissioner, District 2,380020,OverVotes, ,"0
"
43,SAR,11/06/2018,101,101,129,County Commissioner, District 2,380020,UnderVotes, ,"5
"
44,SAR,11/06/2018,101,101,129,County Commissioner, District 4,380040,Alan Maio,REP,"18
"
45,SAR,11/06/2018,101,101,129,County Commissioner, District 4,380040,Wesley Anne Beggs,DEM,"63
"
46,SAR,11/06/2018,101,101,129,County Commissioner, District 4,380040,OverVotes, ,"0
"
47,SAR,11/06/2018,101,101,129,County Commissioner, District 4,380040,UnderVotes, ,"4
"
48,SAR,11/06/2018,101,101,129,Sarasota County Charter Review Board, District 1,450110,Neil Rainford,REP,"20
"
49,SAR,11/06/2018,101,101,129,Sarasota County Charter Review Board, District 1,450110,Krista Lohr,DEM,"60
"
50,SAR,11/06/2018,101,101,129,Sarasota County Charter Review Board, District 1,450110,OverVotes, ,"0
"
51,SAR,11/06/2018,101,101,129,Sarasota County Charter Review Board, District 1,450110,UnderVotes, ,"5
"
52,SAR,11/06/2018,101,101,129,Sarasota County Charter Review Board, District 2,450120,Richard Dorfman,REP,"17
"
