,County Code,Election Date,Unique PCT Identifier,Precinct Polling Location,Total Registered,Contest Name,District,Contest Code,Candidate,Party,Vote Total
0,STJ,11/06/2018,101,PCT 101,5146,United States Senator, ,120000,Rick Scott,REP,"2366
"
1,STJ,11/06/2018,101,PCT 101,5146,United States Senator, ,120000,Bill Nelson,DEM,"1106
"
2,STJ,11/06/2018,101,PCT 101,5146,United States Senator, ,120000,WriteinVotes, ,"6
"
3,STJ,11/06/2018,101,PCT 101,5146,United States Senator, ,120000,OverVotes, ,"2
"
4,STJ,11/06/2018,101,PCT 101,5146,United States Senator, ,120000,UnderVotes, ,"10
"
5,STJ,11/06/2018,101,PCT 101,5146,Representative in Congress, District 4,140040,John H. Rutherford,REP,"2398
"
6,STJ,11/06/2018,101,PCT 101,5146,Representative in Congress, District 4,140040,"George ""Ges"" Selmont",DEM,"969
"
7,STJ,11/06/2018,101,PCT 101,5146,Representative in Congress, District 4,140040,Joceline Berrios,NPA,"56
"
8,STJ,11/06/2018,101,PCT 101,5146,Representative in Congress, District 4,140040,Jason Michael Bulger,NPA,"18
"
9,STJ,11/06/2018,101,PCT 101,5146,Representative in Congress, District 4,140040,WriteinVotes, ,"3
"
10,STJ,11/06/2018,101,PCT 101,5146,Representative in Congress, District 4,140040,OverVotes, ,"0
"
11,STJ,11/06/2018,101,PCT 101,5146,Representative in Congress, District 4,140040,UnderVotes, ,"46
"
12,STJ,11/06/2018,101,PCT 101,5146,Governor, ,160000,DeSantis / Nu̱ez,REP,"2292
"
13,STJ,11/06/2018,101,PCT 101,5146,Governor, ,160000,Gillum / King,DEM,"1157
"
14,STJ,11/06/2018,101,PCT 101,5146,Governor, ,160000,Richardson / Argenziano,REF,"10
"
15,STJ,11/06/2018,101,PCT 101,5146,Governor, ,160000,Gibson / Wilds,NPA,"5
"
16,STJ,11/06/2018,101,PCT 101,5146,Governor, ,160000,Foley / Tutton,NPA,"4
"
17,STJ,11/06/2018,101,PCT 101,5146,Governor, ,160000,Stanley / McJury,NPA,"5
"
18,STJ,11/06/2018,101,PCT 101,5146,Governor, ,160000,WriteinVotes, ,"5
"
19,STJ,11/06/2018,101,PCT 101,5146,Governor, ,160000,OverVotes, ,"1
"
20,STJ,11/06/2018,101,PCT 101,5146,Governor, ,160000,UnderVotes, ,"11
"
21,STJ,11/06/2018,101,PCT 101,5146,Attorney General, ,160200,Ashley Moody,REP,"2376
"
22,STJ,11/06/2018,101,PCT 101,5146,Attorney General, ,160200,Sean Shaw,DEM,"998
"
23,STJ,11/06/2018,101,PCT 101,5146,Attorney General, ,160200,Jeffrey Marc Siskind,NPA,"52
"
24,STJ,11/06/2018,101,PCT 101,5146,Attorney General, ,160200,OverVotes, ,"1
"
25,STJ,11/06/2018,101,PCT 101,5146,Attorney General, ,160200,UnderVotes, ,"63
"
26,STJ,11/06/2018,101,PCT 101,5146,Chief Financial Officer, ,160500,Jimmy Patronis,REP,"2382
"
27,STJ,11/06/2018,101,PCT 101,5146,Chief Financial Officer, ,160500,Jeremy Ring,DEM,"1001
"
28,STJ,11/06/2018,101,PCT 101,5146,Chief Financial Officer, ,160500,WriteinVotes, ,"0
"
29,STJ,11/06/2018,101,PCT 101,5146,Chief Financial Officer, ,160500,OverVotes, ,"0
"
30,STJ,11/06/2018,101,PCT 101,5146,Chief Financial Officer, ,160500,UnderVotes, ,"107
"
