,County Code,Election Date,Unique PCT Identifier,Precinct Polling Location,Total Registered,Contest Name,District,Contest Code,Candidate,Party,Vote Total
0,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,United States Senator, ,120000,Rick Scott,REP,"1363
"
1,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,United States Senator, ,120000,Bill Nelson,DEM,"547
"
2,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,United States Senator, ,120000,WriteinVotes, ,"2
"
3,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,United States Senator, ,120000,OverVotes, ,"1
"
4,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,United States Senator, ,120000,UnderVotes, ,"16
"
5,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Representative in Congress, District 11,140110,Daniel Webster,REP,"1310
"
6,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Representative in Congress, District 11,140110,Dana Cottrell,DEM,"585
"
7,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Representative in Congress, District 11,140110,WriteinVotes, ,"0
"
8,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Representative in Congress, District 11,140110,OverVotes, ,"1
"
9,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Representative in Congress, District 11,140110,UnderVotes, ,"33
"
10,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Governor, ,160000,DeSantis / Nu̱ez,REP,"1329
"
11,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Governor, ,160000,Gillum / King,DEM,"547
"
12,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Governor, ,160000,Richardson / Argenziano,REF,"16
"
13,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Governor, ,160000,Gibson / Wilds,NPA,"11
"
14,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Governor, ,160000,Foley / Tutton,NPA,"3
"
15,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Governor, ,160000,Stanley / McJury,NPA,"4
"
16,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Governor, ,160000,WriteinVotes, ,"0
"
17,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Governor, ,160000,OverVotes, ,"3
"
18,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Governor, ,160000,UnderVotes, ,"16
"
19,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Attorney General, ,160200,Ashley Moody,REP,"1366
"
20,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Attorney General, ,160200,Sean Shaw,DEM,"499
"
21,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Attorney General, ,160200,Jeffrey Marc Siskind,NPA,"29
"
22,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Attorney General, ,160200,OverVotes, ,"0
"
23,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Attorney General, ,160200,UnderVotes, ,"35
"
24,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Chief Financial Officer, ,160500,Jimmy Patronis,REP,"1328
"
25,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Chief Financial Officer, ,160500,Jeremy Ring,DEM,"541
"
26,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Chief Financial Officer, ,160500,WriteinVotes, ,"1
"
27,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Chief Financial Officer, ,160500,OverVotes, ,"0
"
28,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Chief Financial Officer, ,160500,UnderVotes, ,"59
"
29,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Commissioner of Agriculture, ,160800,Matt Caldwell,REP,"1302
"
30,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Commissioner of Agriculture, ,160800,"Nicole ""Nikki"" Fried",DEM,"574
"
31,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Commissioner of Agriculture, ,160800,OverVotes, ,"1
"
32,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,Commissioner of Agriculture, ,160800,UnderVotes, ,"52
"
33,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,State Senator, District 12,240120,Dennis Baxley,REP,"1314
"
34,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,State Senator, District 12,240120,Gary McKechnie,DEM,"571
"
35,SUM,11/06/2018,101,101 SAVANNAH CTR,2555,State Senator, District 12,240120,WriteinVotes, ,"0
"
